id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
47,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",23-05-2022 04:00:00,SO2,11,16,13,NA
48,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",23-05-2022 04:00:00,CO,10,96,12,NA
49,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",23-05-2022 04:00:00,OZONE,2,60,32,NA
50,India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",23-05-2022 04:00:00,PM2.5,NA,NA,NA,NA
51,India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",23-05-2022 04:00:00,PM10,NA,NA,NA,NA
52,India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",23-05-2022 04:00:00,NO2,7,25,15,NA
53,India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",23-05-2022 04:00:00,NH3,1,8,3,NA
54,India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",23-05-2022 04:00:00,SO2,4,8,6,NA
55,India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",23-05-2022 04:00:00,OZONE,22,99,74,NA
56,India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",23-05-2022 04:00:00,PM2.5,NA,NA,NA,NA
57,India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",23-05-2022 04:00:00,PM10,NA,NA,NA,NA
58,India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",23-05-2022 04:00:00,NO2,NA,NA,NA,NA
59,India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",23-05-2022 04:00:00,NH3,NA,NA,NA,NA
60,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",23-05-2022 04:00:00,PM2.5,28,78,53,NA
61,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",23-05-2022 04:00:00,PM10,68,155,119,NA
62,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",23-05-2022 04:00:00,NO2,35,64,47,NA
63,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",23-05-2022 04:00:00,NH3,5,10,7,NA
64,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",23-05-2022 04:00:00,SO2,1,11,5,NA
65,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",23-05-2022 04:00:00,CO,NA,NA,NA,NA
66,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",23-05-2022 04:00:00,OZONE,13,57,41,NA
67,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",23-05-2022 04:00:00,PM2.5,10,88,48,NA
68,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",23-05-2022 04:00:00,PM10,24,446,187,NA
69,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",23-05-2022 04:00:00,NO2,18,58,32,NA
70,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",23-05-2022 04:00:00,NH3,8,12,10,NA
71,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",23-05-2022 04:00:00,SO2,1,5,2,NA
72,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",23-05-2022 04:00:00,CO,19,42,31,NA
73,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",23-05-2022 04:00:00,OZONE,14,41,35,NA
74,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",23-05-2022 04:00:00,PM2.5,18,247,100,NA
75,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",23-05-2022 04:00:00,PM10,50,165,105,NA
76,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",23-05-2022 04:00:00,NO2,17,48,32,NA
77,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",23-05-2022 04:00:00,NH3,1,7,3,NA
78,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",23-05-2022 04:00:00,SO2,9,21,15,NA
79,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",23-05-2022 04:00:00,OZONE,28,61,47,NA
80,India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",23-05-2022 04:00:00,PM2.5,35,133,76,NA
81,India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",23-05-2022 04:00:00,PM10,44,158,115,NA
82,India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",23-05-2022 04:00:00,NO2,41,132,87,NA
83,India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",23-05-2022 04:00:00,NH3,1,7,5,NA
84,India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",23-05-2022 04:00:00,SO2,14,21,17,NA
85,India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",23-05-2022 04:00:00,CO,28,100,63,NA
86,India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",23-05-2022 04:00:00,OZONE,2,143,49,NA
87,India,Bihar,Buxar,"Central Jail, Buxar - BSPCB",23-05-2022 04:00:00,PM2.5,NA,NA,NA,NA
88,India,Bihar,Buxar,"Central Jail, Buxar - BSPCB",23-05-2022 04:00:00,PM10,NA,NA,NA,NA
89,India,Bihar,Buxar,"Central Jail, Buxar - BSPCB",23-05-2022 04:00:00,NO2,NA,NA,NA,NA
90,India,Bihar,Buxar,"Central Jail, Buxar - BSPCB",23-05-2022 04:00:00,NH3,NA,NA,NA,NA
91,India,Bihar,Buxar,"Central Jail, Buxar - BSPCB",23-05-2022 04:00:00,SO2,NA,NA,NA,NA
92,India,Bihar,Buxar,"Central Jail, Buxar - BSPCB",23-05-2022 04:00:00,CO,103,109,106,NA
93,India,Bihar,Buxar,"Central Jail, Buxar - BSPCB",23-05-2022 04:00:00,OZONE,49,88,66,NA
94,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",23-05-2022 04:00:00,PM2.5,NA,NA,NA,NA
95,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",23-05-2022 04:00:00,PM10,NA,NA,NA,NA
96,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",23-05-2022 04:00:00,NO2,NA,NA,NA,NA
97,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",23-05-2022 04:00:00,SO2,NA,NA,NA,NA
98,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",23-05-2022 04:00:00,OZONE,51,103,70,NA
99,India,Bihar,Darbhanga,"Town Hall - Lal Bagh, Darbhanga - BSPCB",23-05-2022 04:00:00,PM2.5,13,137,56,NA
100,India,Bihar,Darbhanga,"Town Hall - Lal Bagh, Darbhanga - BSPCB",23-05-2022 04:00:00,PM10,29,223,99,NA
101,India,Bihar,Darbhanga,"Town Hall - Lal Bagh, Darbhanga - BSPCB",23-05-2022 04:00:00,NO2,10,30,17,NA
102,India,Bihar,Darbhanga,"Town Hall - Lal Bagh, Darbhanga - BSPCB",23-05-2022 04:00:00,NH3,1,7,2,NA
103,India,Bihar,Darbhanga,"Town Hall - Lal Bagh, Darbhanga - BSPCB",23-05-2022 04:00:00,SO2,1,19,4,NA
104,India,Bihar,Darbhanga,"Town Hall - Lal Bagh, Darbhanga - BSPCB",23-05-2022 04:00:00,CO,38,88,69,NA
105,India,Bihar,Darbhanga,"Town Hall - Lal Bagh, Darbhanga - BSPCB",23-05-2022 04:00:00,OZONE,14,93,53,NA
106,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",23-05-2022 04:00:00,PM2.5,NA,NA,NA,NA
107,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",23-05-2022 04:00:00,PM10,NA,NA,NA,NA
108,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",23-05-2022 04:00:00,NO2,NA,NA,NA,NA
109,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",23-05-2022 04:00:00,NH3,NA,NA,NA,NA
110,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",23-05-2022 04:00:00,SO2,NA,NA,NA,NA
111,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",23-05-2022 04:00:00,CO,53,68,63,NA
112,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",23-05-2022 04:00:00,OZONE,3,236,165,NA
